Player,Pos,Team,Selection_Type,Conference,Year
Bam Adebayo,C,Miami Heat,Eastern All-Star Coaches Selection,East,2023-2024
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2023-2024
Paolo Banchero,C,Orlando Magic,Eastern All-Star Coaches Selection,East,2023-2024
Scottie Barnes,SF,Toronto Raptors,Eastern All-Star Replacement Selection,East,2023-2024
Jaylen Brown,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,2023-2024
Jalen Brunson,PG,New York Knicks,Eastern All-Star Coaches Selection,East,2023-2024
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2023-2024
Tyrese Haliburton,PG,Indiana Pacers,Eastern All-Star Fan Vote Selection,East,2023-2024
Damian Lillard,SG,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2023-2024
Tyrese Maxey,PG,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2023-2024
Donovan Mitchell,SG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,2023-2024
Julius Randle,PF,New York Knicks,Eastern All-Star Coaches Selection,East,2023-2024
Jayson Tatum,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,2023-2024
Trae Young,PG,Atlanta Hawks,Eastern All-Star Replacement Selection,East,2023-2024
Devin Booker,SG,Phoenix Suns,Western All-Star Coaches Selection,West,2023-2024
Stephen Curry,SG,Golden State Warriors,Western All-Star Coaches Selection,West,2023-2024
Anthony Davis,PF,Los Angeles Lakers,Western All-Star Coaches Selection,West,2023-2024
Luka Doncic,SF,Dallas Mavericks,Western All-Star Fan Vote Selection,West,2023-2024
Kevin Durant,SF,Phoenix Suns,Western All-Star Fan Vote Selection,West,2023-2024
Anthony Edwards,SF,Minnesota Timberwolves,Western All-Star Coaches Selection,West,2023-2024
Paul George,SF,Los Angeles Clippers,Western All-Star Coaches Selection,West,2023-2024
Shai Gilgeous-Alexander,PG,Oklahoma City Thunder,Western All-Star Fan Vote Selection,West,2023-2024
LeBron James,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2023-2024
Nikola Jokic,C,Denver Nuggets,Western All-Star Fan Vote Selection,West,2023-2024
Kawhi Leonard,PF,Los Angeles Clippers,Western All-Star Coaches Selection,West,2023-2024
Karl-Anthony Towns,C,Minnesota Timberwolves,Western All-Star Coaches Selection,West,2023-2024
Jaylen Brown,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,2022-2023
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2022-2023
Luka Doncic,SF,Dallas Mavericks,Western All-Star Fan Vote Selection,West,2022-2023
Anthony Edwards,SF,Minnesota Timberwolves,Western All-Star Replacement Selection,West,2022-2023
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,2022-2023
DeAaron Fox,PG,Sacramento Kings,Western All-Star Replacement Selection,West,2022-2023
Paul George,SF,Los Angeles Clippers,Western All-Star Coaches Selection,West,2022-2023
Tyrese Haliburton,PG,Indiana Pacers,Eastern All-Star Coaches Selection,East,2022-2023
Kyrie Irving,SG,Dallas Mavericks,Eastern All-Star Fan Vote Selection,East,2022-2023
Jaren Jackson Jr,PF,Memphis Grizzlies,Western All-Star Coaches Selection,West,2022-2023
LeBron James,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2022-2023
Nikola Jokic,C,Denver Nuggets,Western All-Star Fan Vote Selection,West,2022-2023
Julius Randle,PF,New York Knicks,Eastern All-Star Coaches Selection,East,2022-2023
Zion Williamson,PF,New Orleans Pelicans,Western All-Star Fan Vote Selection,West,2022-2023
Bam Adebayo,C,Miami Heat,Eastern All-Star Coaches Selection,East,2022-2023
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2022-2023
DeMar DeRozan,SF,Chicago Bulls,Eastern All-Star Coaches Selection,East,2022-2023
Kevin Durant,SF,Phoenix Suns,Eastern All-Star Fan Vote Selection,East,2022-2023
Shai Gilgeous-Alexander,PG,Oklahoma City Thunder,Western All-Star Coaches Selection,West,2022-2023
Jrue Holiday,SG,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,2022-2023
Damian Lillard,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,2022-2023
Lauri Markkanen,SF,Utah Jazz,Western All-Star Coaches Selection,West,2022-2023
Donovan Mitchell,SG,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,East,2022-2023
Ja Morant,SG,Memphis Grizzlies,Western All-Star Coaches Selection,West,2022-2023
Domantas Sabonis,PF,Sacramento Kings,Western All-Star Coaches Selection,West,2022-2023
Pascal Siakam,PF,Toronto Raptors,Western All-Star Replacement Selection,West,2022-2023
Jayson Tatum,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,2022-2023
Jarrett Allen,C,Cleveland Cavaliers,Eastern All-Star Replacement Selection,East,2021-2022
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2021-2022
Jimmy Butler,SF,Miami Heat,Eastern All-Star Coaches Selection,East,2021-2022
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2021-2022
DeMar DeRozan,SF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,2021-2022
Luka Doncic,SF,Dallas Mavericks,Western All-Star Coaches Selection,West,2021-2022
Darius Garland,SG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,2021-2022
Draymond Green,PF,Golden State Warriors,Western All-Star Coaches Selection,West,2021-2022
James Harden,SG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,2021-2022
LeBron James,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2021-2022
Nikola Jokic,C,Denver Nuggets,Western All-Star Fan Vote Selection,West,2021-2022
Donovan Mitchell,SG,Utah Jazz,Western All-Star Coaches Selection,West,2021-2022
Chris Paul,PG,Phoenix Suns,Western All-Star Coaches Selection,West,2021-2022
Fred VanVleet,SG,Toronto Raptors,Eastern All-Star Coaches Selection,East,2021-2022
LaMelo Ball,SG,Charlotte Hornets,Eastern All-Star Replacement Selection,East,2021-2022
Devin Booker,SG,Phoenix Suns,Western All-Star Coaches Selection,West,2021-2022
Kevin Durant,SF,Brooklyn Nets,Eastern All-Star Fan Vote Selection,East,2021-2022
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2021-2022
Rudy Gobert,C,Utah Jazz,Western All-Star Coaches Selection,West,2021-2022
Zach LaVine,SG,Chicago Bulls,Eastern All-Star Coaches Selection,East,2021-2022
Khris Middleton,SF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,2021-2022
Ja Morant,SG,Memphis Grizzlies,Western All-Star Fan Vote Selection,West,2021-2022
Dejounte Murray,SG,San Antonio Spurs,Western All-Star Replacement Selection,West,2021-2022
Jayson Tatum,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,2021-2022
Karl-Anthony Towns,C,Minnesota Timberwolves,Western All-Star Coaches Selection,West,2021-2022
Andrew Wiggins,PF,Golden State Warriors,Western All-Star Fan Vote Selection,West,2021-2022
Trae Young,PG,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,2021-2022
Bradley Beal,SG,Washington Wizards,Eastern All-Star Fan Vote Selection,East,2020-2021
Devin Booker,SG,Phoenix Suns,Western All-Star Replacement Selection,East,2020-2021
Mike Conley,PG,Utah Jazz,Western All-Star Replacement Selection,East,2020-2021
Kevin Durant,SF,Brooklyn Nets,Eastern All-Star Fan Vote Selection,West,2020-2021
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2020-2021
James Harden,SG,Brooklyn Nets,Eastern All-Star Coaches Selection,West,2020-2021
Kyrie Irving,SG,Brooklyn Nets,Eastern All-Star Fan Vote Selection,East,2020-2021
Zach LaVine,SG,Chicago Bulls,Eastern All-Star Coaches Selection,West,2020-2021
Kawhi Leonard,PF,Los Angeles Clippers,Western All-Star Fan Vote Selection,East,2020-2021
Donovan Mitchell,SG,Utah Jazz,Western All-Star Coaches Selection,West,2020-2021
Julius Randle,PF,New York Knicks,Eastern All-Star Coaches Selection,West,2020-2021
Jayson Tatum,SF,Boston Celtics,Eastern All-Star Coaches Selection,West,2020-2021
Nikola Vucevic,PF,Orlando Magic,Eastern All-Star Coaches Selection,West,2020-2021
Zion Williamson,PF,New Orleans Pelicans,Western All-Star Coaches Selection,East,2020-2021
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2020-2021
Jaylen Brown,SF,Boston Celtics,Eastern All-Star Coaches Selection,West,2020-2021
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,East,2020-2021
Anthony Davis,PF,Los Angeles Lakers,Western All-Star Coaches Selection,East,2020-2021
Luka Doncic,SF,Dallas Mavericks,Western All-Star Fan Vote Selection,West,2020-2021
Paul George,SF,Los Angeles Clippers,Western All-Star Coaches Selection,East,2020-2021
Rudy Gobert,C,Utah Jazz,Western All-Star Coaches Selection,East,2020-2021
LeBron James,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2020-2021
Nikola Jokic,C,Denver Nuggets,Western All-Star Fan Vote Selection,West,2020-2021
Damian Lillard,SG,Portland Trail Blazers,Western All-Star Coaches Selection,East,2020-2021
Chris Paul,PG,Phoenix Suns,Western All-Star Coaches Selection,West,2020-2021
Domantas Sabonis,PF,Indiana Pacers,Eastern All-Star Replacement Selection,West,2020-2021
Ben Simmons,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,2020-2021
Devin Booker,SG,Phoenix Suns,Western All-Star Replacement Selection,West,2019-2020
Anthony Davis,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2019-2020
Luka Doncic,SF,Dallas Mavericks,Western All-Star Fan Vote Selection,West,2019-2020
James Harden,SG,Houston Rockets,Western All-Star Fan Vote Selection,West,2019-2020
LeBron James,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2019-2020
Nikola Jokic,C,Denver Nuggets,Western All-Star Coaches Selection,West,2019-2020
Kawhi Leonard,PF,Los Angeles Clippers,Western All-Star Fan Vote Selection,West,2019-2020
Damian Lillard,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,2019-2020
Chris Paul,PG,Oklahoma City Thunder,Western All-Star Coaches Selection,West,2019-2020
Domantas Sabonis,PF,Indiana Pacers,Eastern All-Star Coaches Selection,East,2019-2020
Ben Simmons,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,2019-2020
Jayson Tatum,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,2019-2020
Russell Westbrook,SG,Houston Rockets,Western All-Star Coaches Selection,West,2019-2020
Bam Adebayo,C,Miami Heat,Eastern All-Star Coaches Selection,East,2019-2020
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2019-2020
Jimmy Butler,SF,Miami Heat,Eastern All-Star Coaches Selection,East,2019-2020
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2019-2020
Rudy Gobert,C,Utah Jazz,Western All-Star Coaches Selection,West,2019-2020
Brandon Ingram,SF,New Orleans Pelicans,Western All-Star Coaches Selection,West,2019-2020
Kyle Lowry,PG,Toronto Raptors,Eastern All-Star Coaches Selection,East,2019-2020
Khris Middleton,SF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,2019-2020
Donovan Mitchell,SG,Utah Jazz,Western All-Star Coaches Selection,West,2019-2020
Pascal Siakam,PF,Toronto Raptors,Eastern All-Star Fan Vote Selection,East,2019-2020
Kemba Walker,SG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,2019-2020
Trae Young,PG,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,2019-2020
LaMarcus Aldridge,PF,San Antonio Spurs,Western All-Star Coaches Selection,West,2018-2019
Bradley Beal,SG,Washington Wizards,Eastern All-Star Coaches Selection,East,2018-2019
Anthony Davis,PF,New Orleans Pelicans,Western All-Star Coaches Selection,West,2018-2019
Kevin Durant,SF,Golden State Warriors,Western All-Star Fan Vote Selection,West,2018-2019
James Harden,SG,Houston Rockets,Western All-Star Fan Vote Selection,West,2018-2019
Kyrie Irving,SG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,2018-2019
LeBron James,PF,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2018-2019
Kawhi Leonard,PF,Toronto Raptors,Eastern All-Star Fan Vote Selection,East,2018-2019
Damian Lillard,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,2018-2019
Ben Simmons,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,2018-2019
Klay Thompson,SG,Golden State Warriors,Western All-Star Coaches Selection,West,2018-2019
Karl-Anthony Towns,C,Minnesota Timberwolves,Western All-Star Coaches Selection,West,2018-2019
Dwyane Wade,SG,Miami Heat,Eastern All-Star Replacement Selection,East,2018-2019
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2018-2019
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2018-2019
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2018-2019
Paul George,SF,Oklahoma City Thunder,Western All-Star Fan Vote Selection,West,2018-2019
Blake Griffin,PF,Detroit Pistons,Eastern All-Star Coaches Selection,East,2018-2019
Nikola Jokic,C,Denver Nuggets,Western All-Star Coaches Selection,West,2018-2019
Kyle Lowry,PG,Toronto Raptors,Eastern All-Star Coaches Selection,East,2018-2019
Khris Middleton,SF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,2018-2019
Dirk Nowitzki,PF,Dallas Mavericks,Western All-Star Replacement Selection,West,2018-2019
Victor Oladipo,SG,Indiana Pacers,Eastern All-Star Coaches Selection,East,2018-2019
D'Angelo Russell,SG,Brooklyn Nets,Eastern All-Star Replacement Selection,East,2018-2019
Nikola Vucevic,PF,Orlando Magic,Eastern All-Star Coaches Selection,East,2018-2019
Kemba Walker,SG,Charlotte Hornets,Eastern All-Star Fan Vote Selection,East,2018-2019
Russell Westbrook,SG,Oklahoma City Thunder,Western All-Star Coaches Selection,West,2018-2019
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2017-2018
Jimmy Butler,SF,Minnesota Timberwolves,Western All-Star Coaches Selection,West,2017-2018
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2017-2018
DeMar DeRozan,SF,Toronto Raptors,Eastern All-Star Fan Vote Selection,East,2017-2018
Joel Embiid,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,2017-2018
Draymond Green,PF,Golden State Warriors,Western All-Star Coaches Selection,West,2017-2018
James Harden,SG,Houston Rockets,Western All-Star Fan Vote Selection,West,2017-2018
Al Horford,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,2017-2018
Damian Lillard,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,2017-2018
Kyle Lowry,PG,Toronto Raptors,Eastern All-Star Coaches Selection,East,2017-2018
Klay Thompson,SG,Golden State Warriors,Western All-Star Coaches Selection,West,2017-2018
Karl-Anthony Towns,C,Minnesota Timberwolves,Western All-Star Coaches Selection,West,2017-2018
LaMarcus Aldridge,PF,San Antonio Spurs,Western All-Star Coaches Selection,West,2017-2018
Bradley Beal,SG,Washington Wizards,Eastern All-Star Coaches Selection,East,2017-2018
DeMarcus Cousins,C,New Orleans Pelicans,Western All-Star Fan Vote Selection,West,2017-2018
Anthony Davis,PF,New Orleans Pelicans,Western All-Star Fan Vote Selection,West,2017-2018
Goran Dragic,SG,Miami Heat,Eastern All-Star Replacement Selection,East,2017-2018
Andre Drummond,C,Detroit Pistons,Eastern All-Star Replacement Selection,East,2017-2018
Kevin Durant,SF,Golden State Warriors,Western All-Star Fan Vote Selection,West,2017-2018
Paul George,SF,Oklahoma City Thunder,Western All-Star Replacement Selection,West,2017-2018
Kyrie Irving,SG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,2017-2018
LeBron James,PF,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,East,2017-2018
Kevin Love,PF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,2017-2018
Victor Oladipo,SG,Indiana Pacers,Eastern All-Star Coaches Selection,East,2017-2018
Kristaps Porzingis,PF,New York Knicks,Eastern All-Star Coaches Selection,East,2017-2018
Kemba Walker,SG,Charlotte Hornets,Eastern All-Star Replacement Selection,East,2017-2018
John Wall,PG,Washington Wizards,Eastern All-Star Coaches Selection,East,2017-2018
Russell Westbrook,SG,Oklahoma City Thunder,Western All-Star Coaches Selection,West,2017-2018
Giannis Antetokounmpo,PF,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,2016-2017
Carmelo Anthony,PF,New York Knicks,Eastern All-Star Replacement Selection,East,2016-2017
Jimmy Butler,SF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,2016-2017
DeMar DeRozan,SF,Toronto Raptors,Eastern All-Star Fan Vote Selection,East,2016-2017
Paul George,SF,Indiana Pacers,Eastern All-Star Coaches Selection,East,2016-2017
Kyrie Irving,SG,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,East,2016-2017
LeBron James,PF,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,East,2016-2017
Kevin Love,PF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,2016-2017
Kyle Lowry,PG,Toronto Raptors,Eastern All-Star Coaches Selection,East,2016-2017
Paul Millsap,PF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,2016-2017
Isaiah Thomas,PG,Boston Celtics,Eastern All-Star Coaches Selection,East,2016-2017
Kemba Walker,SG,Charlotte Hornets,Eastern All-Star Coaches Selection,East,2016-2017
John Wall,PG,Washington Wizards,Eastern All-Star Coaches Selection,East,2016-2017
DeMarcus Cousins,C,Sacramento Kings,Western All-Star Coaches Selection,West,2016-2017
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2016-2017
Anthony Davis,PF,New Orleans Pelicans,Western All-Star Fan Vote Selection,West,2016-2017
Kevin Durant,SF,Golden State Warriors,Western All-Star Fan Vote Selection,West,2016-2017
Marc Gasol,C,Memphis Grizzlies,Western All-Star Coaches Selection,West,2016-2017
Draymond Green,PF,Golden State Warriors,Western All-Star Coaches Selection,West,2016-2017
James Harden,SG,Houston Rockets,Western All-Star Fan Vote Selection,West,2016-2017
Gordon Hayward,SF,Utah Jazz,Western All-Star Coaches Selection,West,2016-2017
DeAndre Jordan,C,Los Angeles Clippers,Western All-Star Coaches Selection,West,2016-2017
Kawhi Leonard,PF,San Antonio Spurs,Western All-Star Fan Vote Selection,West,2016-2017
Klay Thompson,SG,Golden State Warriors,Western All-Star Coaches Selection,West,2016-2017
Russell Westbrook,SG,Oklahoma City Thunder,Western All-Star Coaches Selection,West,2016-2017
Carmelo Anthony,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,2015-2016
Chris Bosh,PF,Miami Heat,Eastern All-Star Coaches Selection,East,2015-2016
Jimmy Butler,SF,Chicago Bulls,Eastern All-Star Coaches Selection,East,2015-2016
DeMar DeRozan,SF,Toronto Raptors,Eastern All-Star Coaches Selection,East,2015-2016
Andre Drummond,C,Detroit Pistons,Eastern All-Star Coaches Selection,East,2015-2016
Pau Gasol,PF,Chicago Bulls,Eastern All-Star Replacement Selection,East,2015-2016
Paul George,SF,Indiana Pacers,Eastern All-Star Fan Vote Selection,East,2015-2016
Al Horford,PF,Atlanta Hawks,Eastern All-Star Replacement Selection,East,2015-2016
LeBron James,PF,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,East,2015-2016
Kyle Lowry,PG,Toronto Raptors,Eastern All-Star Fan Vote Selection,East,2015-2016
Paul Millsap,PF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,2015-2016
Isaiah Thomas,PG,Boston Celtics,Eastern All-Star Coaches Selection,East,2015-2016
Dwyane Wade,SG,Miami Heat,Eastern All-Star Fan Vote Selection,East,2015-2016
John Wall,PG,Washington Wizards,Eastern All-Star Coaches Selection,East,2015-2016
LaMarcus Aldridge,PF,San Antonio Spurs,Western All-Star Coaches Selection,West,2015-2016
Kobe Bryant,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2015-2016
DeMarcus Cousins,C,Sacramento Kings,Western All-Star Coaches Selection,West,2015-2016
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2015-2016
Anthony Davis,PF,New Orleans Pelicans,Western All-Star Coaches Selection,West,2015-2016
Kevin Durant,SF,Oklahoma City Thunder,Western All-Star Fan Vote Selection,West,2015-2016
Draymond Green,PF,Golden State Warriors,Western All-Star Coaches Selection,West,2015-2016
James Harden,SG,Houston Rockets,Western All-Star Coaches Selection,West,2015-2016
Kawhi Leonard,PF,San Antonio Spurs,Western All-Star Fan Vote Selection,West,2015-2016
Chris Paul,PG,Los Angeles Clippers,Western All-Star Coaches Selection,West,2015-2016
Klay Thompson,SG,Golden State Warriors,Western All-Star Coaches Selection,West,2015-2016
Russell Westbrook,SG,Oklahoma City Thunder,Western All-Star Fan Vote Selection,West,2015-2016
Carmelo Anthony,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,2014-2015
Chris Bosh,PF,Miami Heat,Eastern All-Star Coaches Selection,East,2014-2015
Jimmy Butler,SF,Chicago Bulls,Eastern All-Star Coaches Selection,East,2014-2015
Pau Gasol,PF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,2014-2015
Al Horford,PF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,2014-2015
Kyrie Irving,SG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,2014-2015
LeBron James,PF,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,East,2014-2015
Kyle Korver,SF,Atlanta Hawks,Eastern All-Star Replacement Selection,East,2014-2015
Kyle Lowry,PG,Toronto Raptors,Eastern All-Star Fan Vote Selection,East,2014-2015
Paul Millsap,PF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,2014-2015
Jeff Teague,PG,Atlanta Hawks,Eastern All-Star Coaches Selection,East,2014-2015
Dwyane Wade,SG,Miami Heat,Eastern All-Star Coaches Selection,East,2014-2015
John Wall,PG,Washington Wizards,Eastern All-Star Fan Vote Selection,East,2014-2015
LaMarcus Aldridge,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,2014-2015
Kobe Bryant,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2014-2015
DeMarcus Cousins,C,Sacramento Kings,Western All-Star Replacement Selection,West,2014-2015
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2014-2015
Anthony Davis,PF,New Orleans Pelicans,Western All-Star Fan Vote Selection,West,2014-2015
Tim Duncan,PF,San Antonio Spurs,Western All-Star Coaches Selection,West,2014-2015
Kevin Durant,SF,Oklahoma City Thunder,Western All-Star Coaches Selection,West,2014-2015
Marc Gasol,C,Memphis Grizzlies,Western All-Star Fan Vote Selection,West,2014-2015
Blake Griffin,PF,Los Angeles Clippers,Western All-Star Fan Vote Selection,West,2014-2015
James Harden,SG,Houston Rockets,Western All-Star Coaches Selection,West,2014-2015
Damian Lillard,SG,Portland Trail Blazers,Western All-Star Replacement Selection,West,2014-2015
Dirk Nowitzki,PF,Dallas Mavericks,Western All-Star Replacement Selection,West,2014-2015
Chris Paul,PG,Los Angeles Clippers,Western All-Star Coaches Selection,West,2014-2015
Klay Thompson,SG,Golden State Warriors,Western All-Star Coaches Selection,West,2014-2015
Russell Westbrook,SG,Oklahoma City Thunder,Western All-Star Coaches Selection,West,2014-2015
Carmelo Anthony,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,2013-2014
Chris Bosh,PF,Miami Heat,Eastern All-Star Coaches Selection,East,2013-2014
DeMar DeRozan,SF,Toronto Raptors,Eastern All-Star Coaches Selection,East,2013-2014
Paul George,SF,Indiana Pacers,Eastern All-Star Fan Vote Selection,East,2013-2014
Roy Hibbert,C,Indiana Pacers,Eastern All-Star Coaches Selection,East,2013-2014
Kyrie Irving,SG,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,East,2013-2014
LeBron James,PF,Miami Heat,Eastern All-Star Fan Vote Selection,East,2013-2014
Joe Johnson,SG,Brooklyn Nets,Eastern All-Star Coaches Selection,East,2013-2014
Paul Millsap,PF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,2013-2014
Joakim Noah,PF,Chicago Bulls,Eastern All-Star Coaches Selection,East,2013-2014
Dwyane Wade,SG,Miami Heat,Eastern All-Star Fan Vote Selection,East,2013-2014
John Wall,PG,Washington Wizards,Eastern All-Star Coaches Selection,East,2013-2014
LaMarcus Aldridge,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,2013-2014
Kobe Bryant,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2013-2014
Stephen Curry,SG,Golden State Warriors,Western All-Star Fan Vote Selection,West,2013-2014
Anthony Davis,PF,New Orleans Pelicans,Western All-Star Replacement Selection,West,2013-2014
Kevin Durant,SF,Oklahoma City Thunder,Western All-Star Fan Vote Selection,West,2013-2014
Blake Griffin,PF,Los Angeles Clippers,Western All-Star Fan Vote Selection,West,2013-2014
James Harden,SG,Houston Rockets,Western All-Star Coaches Selection,West,2013-2014
Dwight Howard,C,Houston Rockets,Western All-Star Coaches Selection,West,2013-2014
Damian Lillard,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,2013-2014
Kevin Love,PF,Minnesota Timberwolves,Western All-Star Fan Vote Selection,West,2013-2014
Dirk Nowitzki,PF,Dallas Mavericks,Western All-Star Coaches Selection,West,2013-2014
Tony Parker,SG,San Antonio Spurs,Western All-Star Coaches Selection,West,2013-2014
Chris Paul,PG,Los Angeles Clippers,Western All-Star Coaches Selection,West,2013-2014
LaMarcus Aldridge,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,2012-2013
Kobe Bryant,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2012-2013
Tim Duncan,PF,San Antonio Spurs,Western All-Star Coaches Selection,West,2012-2013
Kevin Durant,SF,Oklahoma City Thunder,Western All-Star Fan Vote Selection,West,2012-2013
Blake Griffin,PF,Los Angeles Clippers,Western All-Star Fan Vote Selection,West,2012-2013
James Harden,SG,Houston Rockets,Western All-Star Coaches Selection,West,2012-2013
Dwight Howard,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,2012-2013
David Lee,PF,Golden State Warriors,Western All-Star Coaches Selection,West,2012-2013
Tony Parker,SG,San Antonio Spurs,Western All-Star Coaches Selection,West,2012-2013
Chris Paul,PG,Los Angeles Clippers,Western All-Star Fan Vote Selection,West,2012-2013
Zach Randolph,PF,Memphis Grizzlies,Western All-Star Coaches Selection,West,2012-2013
Russell Westbrook,SG,Oklahoma City Thunder,Western All-Star Coaches Selection,West,2012-2013
Carmelo Anthony,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,2012-2013
Chris Bosh,PF,Miami Heat,Eastern All-Star Coaches Selection,East,2012-2013
Tyson Chandler,C,New York Knicks,Eastern All-Star Coaches Selection,East,2012-2013
Luol Deng,SF,Chicago Bulls,Eastern All-Star Coaches Selection,East,2012-2013
Kevin Garnett,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,2012-2013
Paul George,SF,Indiana Pacers,Eastern All-Star Coaches Selection,East,2012-2013
Jrue Holiday,SG,Philadelphia Sixers,Eastern All-Star Coaches Selection,East,2012-2013
Kyrie Irving,SG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,2012-2013
LeBron James,PF,Miami Heat,Eastern All-Star Fan Vote Selection,East,2012-2013
